Runs	Weibull Discovery Time	Discovery Time	Fraction Discovery	Information Time	Fraction Information
329	44148.0	20922.0	0.823	3183.0	1.0
330	49293.0	22114.0	0.824	2865.0	1.0
331	30453.0	20536.0	0.9015	2923.0	1.0
332	47633.0	21120.0	0.8125	3131.0	1.0
333	38648.0	21355.0	0.863	2888.0	1.0
334	54336.0	21789.0	0.804	2931.0	1.0
335	79154.0	24876.0	0.7615	3025.0	1.0
336	38098.0	21389.0	0.856	2942.0	1.0
337	27541.0	19791.0	0.9175	3103.0	1.0
338	63103.0	23304.0	0.776	3238.0	1.0
339	38099.0	20273.0	0.855	2953.0	1.0
340	40503.0	20660.0	0.843	2795.0	1.0
341	30706.0	20597.0	0.9015	2942.0	1.0
342	35185.0	21622.0	0.877	3118.0	1.0
343	35122.0	21350.0	0.874	3103.0	1.0
344	32533.0	21420.0	0.905	2976.0	1.0
345	38831.0	21750.0	0.8665	3171.0	1.0
346	39707.0	22068.0	0.8695	2861.0	1.0
347	35978.0	20827.0	0.868	3022.0	1.0
348	31880.0	20754.0	0.8905	3058.0	1.0
349	31136.0	21310.0	0.908	3190.0	1.0
350	72744.0	22094.0	0.739	3052.0	1.0
351	34722.0	21009.0	0.8725	3298.0	1.0
352	34035.0	20216.0	0.882	2909.0	1.0
353	40936.0	21606.0	0.852	3151.0	1.0
354	79927.0	22785.0	0.7435	2995.0	1.0
355	34732.0	20786.0	0.8845	3018.0	1.0
356	33558.0	20955.0	0.88	3017.0	1.0
357	30061.0	20007.0	0.9055	2939.0	1.0
358	36748.0	22115.0	0.8865	2900.0	1.0
359	35834.0	21744.0	0.879	3222.0	1.0
360	52519.0	22371.0	0.804	3333.0	1.0
361	57772.0	21433.0	0.7835	2904.0	1.0
362	35336.0	21196.0	0.877	2886.0	1.0
363	49595.0	22752.0	0.826	3267.0	1.0
364	45671.0	21922.0	0.829	2957.0	1.0
365	30323.0	20053.0	0.903	2949.0	1.0
366	32237.0	20065.0	0.884	3093.0	1.0
367	45891.0	23344.0	0.8425	3039.0	1.0
368	54338.0	22172.0	0.81	2711.0	1.0
369	37378.0	21329.0	0.858	3109.0	1.0
370	50448.0	22609.0	0.83	2870.0	1.0
371	47851.0	22410.0	0.842	2901.0	1.0
372	39799.0	21375.0	0.853	2939.0	1.0
373	31890.0	20814.0	0.8975	3272.0	1.0
374	33613.0	21678.0	0.899	3036.0	1.0
375	36879.0	20416.0	0.8615	3050.0	1.0
376	49764.0	23297.0	0.8275	2812.0	1.0
377	47615.0	22545.0	0.8375	3006.0	1.0
378	89594.0	20836.0	0.714	3474.0	1.0
379	59860.0	21194.0	0.7875	3027.0	1.0
380	33762.0	21298.0	0.893	2994.0	1.0
381	38906.0	20595.0	0.8425	3183.0	1.0
382	39663.0	20836.0	0.852	3092.0	1.0
383	52504.0	23339.0	0.8165	3158.0	1.0
384	36395.0	21263.0	0.8745	2824.0	1.0
385	37900.0	20832.0	0.856	3135.0	1.0
386	45526.0	22526.0	0.8395	3096.0	1.0
387	32159.0	20762.0	0.8935	3163.0	1.0
388	53982.0	21739.0	0.805	2807.0	1.0
389	41887.0	21591.0	0.844	3013.0	1.0
390	51899.0	23264.0	0.8225	3063.0	1.0
391	54383.0	21186.0	0.797	2897.0	1.0
392	62258.0	19985.0	0.7605	2970.0	1.0
393	33381.0	20919.0	0.893	3100.0	1.0
394	51307.0	22510.0	0.827	3033.0	1.0
395	50450.0	21416.0	0.8125	2958.0	1.0
396	74242.0	21972.0	0.744	2937.0	1.0
397	37983.0	21809.0	0.8695	3035.0	1.0
398	33449.0	21383.0	0.891	3343.0	1.0
399	50245.0	21194.0	0.7975	3247.0	1.0
400	53220.0	22877.0	0.8155	2975.0	1.0
401	55780.0	21082.0	0.787	3048.0	1.0
402	64356.0	23961.0	0.783	3211.0	1.0
403	35892.0	20658.0	0.8625	3374.0	1.0
404	34383.0	21088.0	0.884	3032.0	1.0
405	61275.0	21610.0	0.771	3093.0	1.0
406	56072.0	23367.0	0.81	3017.0	1.0
407	51780.0	23363.0	0.8275	3023.0	1.0
408	36545.0	20328.0	0.8545	2968.0	1.0
409	33910.0	20973.0	0.885	2977.0	1.0
410	66854.0	23884.0	0.7785	3268.0	1.0
411	36088.0	22590.0	0.8925	2896.0	1.0
412	37788.0	21220.0	0.87	2912.0	1.0
413	39727.0	21217.0	0.86	2954.0	1.0
414	57908.0	23699.0	0.803	3260.0	1.0
415	34438.0	20425.0	0.8715	2804.0	1.0
416	33156.0	20145.0	0.8805	2938.0	1.0
417	33080.0	19118.0	0.873	2944.0	1.0
418	58622.0	21640.0	0.788	3022.0	1.0
419	47171.0	21719.0	0.8355	3003.0	1.0
420	40199.0	21490.0	0.849	3137.0	1.0
421	30333.0	20346.0	0.903	3000.0	1.0
422	31307.0	20635.0	0.9055	2974.0	1.0
423	39278.0	22178.0	0.8655	3050.0	1.0
424	35991.0	21405.0	0.8745	3281.0	1.0
425	54801.0	21335.0	0.803	2976.0	1.0
426	55623.0	21841.0	0.8015	2752.0	1.0
427	35232.0	21277.0	0.887	2908.0	1.0
428	38311.0	21873.0	0.872	3152.0	1.0
429	45120.0	22451.0	0.8355	3224.0	1.0
430	48813.0	22788.0	0.8255	2977.0	1.0
431	33041.0	20793.0	0.8925	2762.0	1.0
432	34146.0	20963.0	0.883	3071.0	1.0
433	38682.0	21655.0	0.8735	2820.0	1.0
434	36487.0	21804.0	0.8755	3212.0	1.0
435	45431.0	22045.0	0.841	2814.0	1.0
436	37736.0	21193.0	0.8605	3002.0	1.0
437	56105.0	21689.0	0.794	3205.0	1.0
438	31184.0	21592.0	0.9135	3180.0	1.0
439	38169.0	22555.0	0.88	3038.0	1.0
440	32455.0	21536.0	0.9015	2803.0	1.0
441	32708.0	21352.0	0.906	2967.0	1.0
442	55304.0	22561.0	0.8105	2925.0	1.0
443	61980.0	22747.0	0.784	2778.0	1.0
444	36020.0	20595.0	0.8695	3103.0	1.0
445	61559.0	21573.0	0.78	2936.0	1.0
446	34323.0	20596.0	0.8795	2840.0	1.0
