Runs	Weibull Discovery Time	Discovery Time	Fraction Discovery	Information Time	Fraction Information
362	57405.0	23245.0	0.8	2748.0	1.0
363	57425.0	22427.0	0.81	2806.0	1.0
364	73648.0	23424.0	0.7625	2898.0	1.0
365	64967.0	22588.0	0.76	3286.0	1.0
366	68222.0	23581.0	0.777	2904.0	1.0
367	52511.0	22775.0	0.8105	2922.0	1.0
368	75328.0	23591.0	0.7635	2821.0	1.0
369	56671.0	22539.0	0.795	3013.0	1.0
370	73549.0	22082.0	0.749	2959.0	1.0
371	58422.0	21282.0	0.7805	2870.0	1.0
372	65072.0	23383.0	0.78	3054.0	1.0
373	64808.0	21425.0	0.771	2997.0	1.0
374	69851.0	24460.0	0.776	3484.0	1.0
375	69743.0	23445.0	0.78	2802.0	1.0
376	67933.0	22320.0	0.763	2959.0	1.0
377	64102.0	21950.0	0.782	2676.0	1.0
378	58400.0	22744.0	0.797	2961.0	1.0
379	73279.0	24214.0	0.7575	3141.0	1.0
380	66602.0	22774.0	0.778	2915.0	1.0
381	52548.0	21635.0	0.8045	2988.0	1.0
382	59860.0	23884.0	0.797	3142.0	1.0
383	63759.0	21686.0	0.7845	2739.0	1.0
384	61956.0	23458.0	0.793	3226.0	1.0
385	64417.0	23687.0	0.7965	3113.0	1.0
386	65324.0	23084.0	0.7805	2957.0	1.0
387	62873.0	23622.0	0.7925	3108.0	1.0
388	79019.0	21952.0	0.7395	3033.0	1.0
389	73530.0	22170.0	0.757	2922.0	1.0
390	70871.0	23044.0	0.768	3193.0	1.0
391	63148.0	23130.0	0.7855	2736.0	1.0
392	68234.0	22920.0	0.763	3083.0	1.0
393	62467.0	23045.0	0.7835	2826.0	1.0
394	63266.0	22122.0	0.7825	2975.0	1.0
395	66986.0	22407.0	0.776	2947.0	1.0
396	64799.0	22104.0	0.7735	2702.0	1.0
397	67165.0	23346.0	0.7745	3278.0	1.0
398	61163.0	21393.0	0.7905	2678.0	1.0
399	69492.0	22760.0	0.7685	3078.0	1.0
400	57812.0	22951.0	0.787	3092.0	1.0
401	71599.0	23455.0	0.7645	3036.0	1.0
402	63861.0	23798.0	0.782	3007.0	1.0
403	56929.0	23537.0	0.813	2765.0	1.0
404	63984.0	23188.0	0.779	3423.0	1.0
405	62342.0	22807.0	0.789	2701.0	1.0
406	59955.0	22262.0	0.802	2925.0	1.0
407	60243.0	23475.0	0.7915	2973.0	1.0
408	81895.0	23454.0	0.7435	3053.0	1.0
409	61962.0	23550.0	0.778	2961.0	1.0
410	68439.0	22222.0	0.78	2741.0	1.0
411	60212.0	23512.0	0.792	3145.0	1.0
412	48764.0	22532.0	0.83	2848.0	1.0
413	51977.0	23203.0	0.8255	2895.0	1.0
414	64860.0	24147.0	0.783	3052.0	1.0
415	71797.0	22558.0	0.7695	3045.0	1.0
416	57022.0	23188.0	0.8085	2911.0	1.0
417	57513.0	22790.0	0.8045	2715.0	1.0
418	60945.0	24387.0	0.8005	3113.0	1.0
419	62775.0	23753.0	0.7975	3017.0	1.0
420	50603.0	22935.0	0.8275	2861.0	1.0
421	62306.0	22802.0	0.784	2879.0	1.0
422	61606.0	23723.0	0.796	3220.0	1.0
423	63548.0	23016.0	0.7855	2913.0	1.0
424	54541.0	22779.0	0.8195	2831.0	1.0
425	57082.0	22240.0	0.806	2728.0	1.0
426	62328.0	22165.0	0.781	2921.0	1.0
427	61217.0	23092.0	0.7905	2894.0	1.0
428	63749.0	23629.0	0.7905	2740.0	1.0
429	71571.0	21882.0	0.752	3292.0	1.0
430	73514.0	23670.0	0.764	3214.0	1.0
431	61972.0	23483.0	0.7905	3013.0	1.0
432	62061.0	22884.0	0.7985	2585.0	1.0
433	61796.0	21440.0	0.793	2788.0	1.0
434	60464.0	22682.0	0.797	2740.0	1.0
435	54902.0	22256.0	0.8115	2861.0	1.0
436	69841.0	23344.0	0.7775	3058.0	1.0
437	61467.0	23877.0	0.802	3023.0	1.0
438	85680.0	24464.0	0.7505	2903.0	1.0
439	61232.0	23463.0	0.795	3075.0	1.0
440	67578.0	21763.0	0.7705	2758.0	1.0
441	69003.0	23315.0	0.767	2894.0	1.0
442	67630.0	22913.0	0.779	2831.0	1.0
443	62028.0	22856.0	0.79	2946.0	1.0
444	68839.0	23004.0	0.775	3120.0	1.0
445	71891.0	23769.0	0.765	3177.0	1.0
446	56935.0	22095.0	0.7945	2874.0	1.0
447	67011.0	23007.0	0.7765	2857.0	1.0
448	69186.0	24290.0	0.778	2966.0	1.0
449	62408.0	22572.0	0.7835	2739.0	1.0
450	61639.0	23386.0	0.7995	2781.0	1.0
451	65348.0	21995.0	0.761	2924.0	1.0
452	70224.0	23149.0	0.765	3130.0	1.0
453	60857.0	24611.0	0.7965	3091.0	1.0
454	76966.0	24184.0	0.751	3174.0	1.0
455	58080.0	22940.0	0.8105	2788.0	1.0
456	65374.0	24068.0	0.7915	3033.0	1.0
457	58330.0	24232.0	0.8015	3061.0	1.0
458	60928.0	23861.0	0.794	3222.0	1.0
459	57005.0	24393.0	0.8125	2937.0	1.0
460	62499.0	22729.0	0.791	2865.0	1.0
461	60481.0	22347.0	0.77	3040.0	1.0
462	66376.0	23157.0	0.777	3021.0	1.0
463	64952.0	22076.0	0.787	2779.0	1.0
464	71513.0	22268.0	0.7615	2755.0	1.0
465	58769.0	23006.0	0.8035	2635.0	1.0
466	59875.0	21507.0	0.79	3054.0	1.0
467	64068.0	23119.0	0.787	2958.0	1.0
468	59355.0	23631.0	0.793	3051.0	1.0
469	57045.0	23390.0	0.801	3277.0	1.0
470	67000.0	22508.0	0.766	2909.0	1.0
471	73040.0	24842.0	0.763	2904.0	1.0
472	62368.0	23207.0	0.7875	3050.0	1.0
473	81756.0	23403.0	0.7505	3071.0	1.0
474	67120.0	23167.0	0.786	3004.0	1.0
475	67981.0	22699.0	0.776	2829.0	1.0
476	63590.0	22516.0	0.7805	2893.0	1.0
477	74164.0	21744.0	0.7575	2891.0	1.0
478	57186.0	22607.0	0.8	3051.0	1.0
479	64474.0	23693.0	0.787	2797.0	1.0
480	61538.0	22780.0	0.783	2972.0	1.0
481	63729.0	22871.0	0.7825	3009.0	1.0
482	64672.0	22365.0	0.7755	2955.0	1.0
483	52604.0	22302.0	0.811	2879.0	1.0
484	63358.0	23267.0	0.7785	3246.0	1.0
485	60003.0	23152.0	0.801	2930.0	1.0
486	56000.0	22662.0	0.79	3355.0	1.0
487	60269.0	23610.0	0.7885	3098.0	1.0
488	70795.0	22965.0	0.764	2911.0	1.0
489	68141.0	22055.0	0.7645	3048.0	1.0
490	86149.0	23660.0	0.745	2937.0	1.0
491	72720.0	23416.0	0.7645	2933.0	1.0
492	70432.0	23218.0	0.775	2964.0	1.0
493	67684.0	22637.0	0.78	2705.0	1.0
494	63934.0	22206.0	0.7825	2704.0	1.0
495	56536.0	22547.0	0.8015	3024.0	1.0
496	64060.0	22503.0	0.771	3025.0	1.0
497	63680.0	21733.0	0.769	2911.0	1.0
498	72818.0	23153.0	0.7605	2989.0	1.0
499	82797.0	22626.0	0.742	3400.0	1.0
500	56159.0	22200.0	0.8045	2994.0	1.0
